1|IC|1|Hepatitis B is caused by a|bacteria|parasite|fungus|virus|導致乙型肝炎的主因是:|細菌|寄生蟲|真菌|病毒|80|Y|2013-07-25|D
2|IC|2|Tuberculosis is caused by a|bacteria|parasite|fungus|virus|導致肺結核的主因是:|細菌|寄生蟲|真菌|病毒|80|Y|2013-07-25|A
3|IC|3|An effective technique for sterilizing equipment is|dry heat sterilizer|ultraviolet sterilizer|immersion in rapidly boiling water|scrubbing with 70% isopropyl alcohol|對器具進行滅菌的一種有效方法是:|使用幹熱滅菌器|使用紫外線消毒器|浸泡在沸水中|用70％的酒精擦洗|80|Y|2013-07-25|A
4|IC|4|Which of the following statements identifies the correct process for sterilization?|sterilization followed by thorough cleaning|sterilization followed by thorough disinfection|thorough pre-cleaning followed by sterilization|pre-cleaning, followed by sterilization, followed by towel drying|以下哪種陳述是正確的滅菌過程?|滅菌後徹底清潔|滅菌後徹底消毒|徹底預清潔後滅菌|預清潔，然後滅菌，最後用毛巾擦乾|80|Y|2013-07-25|C
5|IC|5|Between outbreaks, infectious agents live and grow in|reservoirs|portals of entry|vulnerable hosts|pathogenic agents|在傳染病發病至發病之間，傳染性病原體生長在:|傳染源|侵入途徑|易受感染宿主|致病因子|80|Y|2013-07-25|A
6|IC|6|An infection as a result of a inhaling infectious dust particles is an example of|direct contact transmission|indirect contact transmission|droplet transmission|airborne transmission|因吸入有傳染性的灰塵顆粒導致傳染病的例子描述的是:|直接接觸傳播|間接接觸傳播|飛沫傳播|空氣傳播|80|Y|2013-07-25|D
7|IC|7|An infection as a result of touching a contaminated work surface is an example of|direct contact transmission|indirect contact transmission|droplet transmission|airborne transmission|因接觸受污染的工作檯面導致傳染病的例子描述的是：|直接接觸傳播|間接接觸傳播|飛沫傳播|空氣傳播|80|Y|2013-07-25|B
8|IC|8|An infection as a result of a mosquito bite is an example of|direct contact transmission|vector-borne transmission|airborne transmission|vehicle transmission|由於蚊子叮咬導致傳染病的例子描述的是:|直接接觸傳播|蟲媒傳播|空氣傳播|共同媒介物傳播|80|Y|2013-07-25|B
9|IC|9|An example of an infection caused by droplet transmission is|gastrointestinal infection|influenza|tuberculosis|measles|通過飛沫傳播導致的傳染病是:|胃腸道傳染病|流感|肺結核|麻疹|80|Y|2013-07-25|B
10|IC|10|An example of an infection caused by direct contact transmission is|gastrointestinal infection|influenza|tuberculosis|measles|通過直接接觸傳播導致的傳染病是:|胃腸道傳染病|流感|肺結核|麻疹|80|Y|2013-07-25|A
11|IC|11|To limit the spread of flu and colds, TCM practitioners and staff are encouraged to|use clean needle techniques|practice respiratory etiquette|safely dispose of biohazard waste|limit exposure to blood-borne pathogens|為減少流感和感冒的傳播，建議中醫執業醫師及診所員工|使用潔針技術|慣常地實施呼吸衛生禮儀|安全處置生物危害廢品|避免血源性病原體的曝露|80|Y|2013-07-25|B
12|IC|12|Which of the following is the LEAST effective means to reduce risks associated with Hepatitis B?|immunization|safe needle disposal|wear a medical mask|limit exposure to blood-borne pathogens|下列哪項是減少乙型肝炎風險最無效的手段？|防疫注射|安全處置針具|佩戴醫用口罩|避免血源性病原體的曝露|80|Y|2013-07-25|C
13|IC|13|Currently, there is no vaccine to prevent|Hepatitis A|Hepatitis B|Hepatitis C|Tetanus|目前，還沒有一種疫苗可以預防:|甲型肝炎|乙型肝炎|丙型肝炎|破傷風|80|Y|2013-07-25|C
14|IC|14|Disinfecting is a process that|removes all surface dirt prior to sterilization|kills many micro-organisms but not bacterial spores|destroys bacterial spores using strong chemicals|allows for critical items to be reprocessed or re-used|消毒是指以下的一個過程:|滅菌前除去所有表面污垢|殺死多種微生物,但不包括細菌孢子|使用強烈的化學物質破壞細菌孢子|允許危險性用品進行再處理或再利用|80|Y|2013-07-25|B
15|IC|15|Which of the following is not considered a “routine practice” for infection control in a TCM/A practice?|maintaining all equipment in good working order|disposing of sharps in a puncture-resistant container|washing your hands before and after treating the patient|using personal protective equipment based on a risk assessment|在中醫針灸執業中，下列哪項不被認為是控制感染的“常規做法”？|保持所有設備在良好的工作狀態|棄置尖利物品在耐穿刺的容器中|治療病人前後洗手|依據風險的評估使用個人防護裝備|80|Y|2013-07-25|A
16|IC|16|The recommended strategy for practitioners with a herpetic finger infection is to|use medical gloves while delivering treatment to patients.|not make contact with patients until infection is fully healed.|wash hands immediately before and after delivering treatment to patients.|use water-proof bandages on the infected area while delivering treatment to patients.|對於患有疱疹性手指感染的執業醫師, 所建議的策略是:|為患者治療的同時使用醫用手套。|不與患者接觸,直到感染完全治癒。|為患者提供治療前後立即洗手。|為患者治療的同時在受感染區域使用防水繃帶。|80|Y|2013-07-25|B
17|IC|17|Of the statements provided, which choice would be the most effective infection control practice in a TCM/A office?|All blood spills are cleaned thoroughly at the end of the work week.|Staff uses utility gloves when handling soiled linens or disinfecting work surfaces.|Patient treatment areas are equipped with smoke detectors and fire extinguishers.|Immunizations have possible side effects, so staff should avoid getting the annual flu vaccine.|根據以下陳述，哪項選擇應是在中醫/針灸診所最有效的傳染病控制慣例？|工作週結束時徹底清潔所有的血液污垢。|工作人員處理弄髒的床單或消毒工作檯面時應使用工作手套。|病人的治療區域须配有煙霧探測器和滅火器。|預防接種可能會產生副作用，因此工作人員應盡量避免每年的流感疫苗防疫注射。|80|Y|2013-07-25|B
18|IC|18|Of the statements provided, which choice best describes infection control responsibilities in a TCM/A office?|Adherence to infection control procedures is required of the practitioner, but is optional for clinical staff.|The practitioner can assign responsibility for adherence to infection control procedures to a designated staff member.|Patients have the responsibility to request that practitioners adhere to proper infection control procedures.|Practitioners and staff both have responsibility for adhering to infection control guidelines.|根據以下陳述，在中醫/針灸診所哪項選擇最能形容傳染病控制的責任？|執業醫師必須遵守傳染病控制程序，但診所員工無須強制。|執業醫師可以分配責任到指定的員工以遵守傳染病控制程序。|患者有責任要求執業醫師堅持正確的傳染病控制程序。|執業醫師和工作人員都有責任遵守傳染病控制指引。|80|Y|2013-07-25|D
19|IC|19|Consider the following two statements.</br>1) Infection can occur with or without skin penetration.</br>2) Routine practices apply at all times with all patients.</br>Which of the following identifies the correct statement or statements from the two listed above.|Both statements are true.|Only statement 1 is true.|Only statement 2 is true.|Neither statement is true.|仔細考慮下列兩個陳述：</br>1）無論是否刺入皮膚，感染均可以發生。</br>2）執業常規適用於任何時候及所有的患者。</br>據以上兩個陳述，下列哪項是正確的？|兩者均正確。|只有陳述1正確。|只有陳述2正確。|兩者均錯誤。|80|Y|2013-07-25|A
20|IC|20|Consider the following two statements.</br>1) Tetanus can be prevented with vaccine.</br>2) Hepatitis B can be prevented with vaccine.</br>Which of the following identifies the correct statement or statements from the two listed above.|Both statements are true.|Only statement 1 is true.|Only statement 2 is true.|Neither statement is true.|仔細考慮下列兩個陳述：</br>1）防疫注射可以預防破傷風。</br>2）防疫注射可以預防乙型肝炎。</br>據以上兩個陳述，下列哪項是正確的？|兩者均正確。|只有陳述1正確。|只有陳述2正確。|兩者均錯誤。|80|Y|2013-07-25|A
